[Mon Mar 23 21:40:08.974508 2026] [php:warn] [pid 425635] [client 10.30.8.22:58304] PHP Warning:  Undefined variable $subscribers in /srv/users/piuxhnsp/mpsvaba-m4/views/site/post.php on line 7
[Mon Mar 23 21:40:08.974568 2026] [php:warn] [pid 425635] [client 10.30.8.22:58304] PHP Warning:  Attempt to read property "subscribers_id" on null in /srv/users/piuxhnsp/mpsvaba-m4/views/site/post.php on line 7
[Mon Mar 23 21:40:08.974572 2026] [php:warn] [pid 425635] [client 10.30.8.22:58304] PHP Warning:  Undefined variable $subscribers in /srv/users/piuxhnsp/mpsvaba-m4/views/site/post.php on line 7
[Mon Mar 23 21:40:08.974575 2026] [php:warn] [pid 425635] [client 10.30.8.22:58304] PHP Warning:  Attempt to read property "first_name" on null in /srv/users/piuxhnsp/mpsvaba-m4/views/site/post.php on line 7
[Mon Mar 23 21:40:09.711122 2026] [php:warn] [pid 425635] [client 10.30.8.22:58304] PHP Warning:  Undefined variable $subscribers in /srv/users/piuxhnsp/mpsvaba-m4/views/site/post.php on line 7
[Mon Mar 23 21:40:09.711146 2026] [php:warn] [pid 425635] [client 10.30.8.22:58304] PHP Warning:  Attempt to read property "subscribers_id" on null in /srv/users/piuxhnsp/mpsvaba-m4/views/site/post.php on line 7
[Mon Mar 23 21:40:09.711150 2026] [php:warn] [pid 425635] [client 10.30.8.22:58304] PHP Warning:  Undefined variable $subscribers in /srv/users/piuxhnsp/mpsvaba-m4/views/site/post.php on line 7
[Mon Mar 23 21:40:09.711153 2026] [php:warn] [pid 425635] [client 10.30.8.22:58304] PHP Warning:  Attempt to read property "first_name" on null in /srv/users/piuxhnsp/mpsvaba-m4/views/site/post.php on line 7
[Mon Mar 23 21:40:38.646756 2026] [php:warn] [pid 426811] [client 10.30.8.22:59958] PHP Warning:  Undefined variable $subscribers in /srv/users/piuxhnsp/mpsvaba-m4/views/site/post.php on line 9
[Mon Mar 23 21:40:38.646806 2026] [php:warn] [pid 426811] [client 10.30.8.22:59958] PHP Warning:  foreach() argument must be of type array|object, null given in /srv/users/piuxhnsp/mpsvaba-m4/views/site/post.php on line 9
[Mon Mar 23 21:40:39.348529 2026] [php:warn] [pid 426811] [client 10.30.8.22:59958] PHP Warning:  Undefined variable $subscribers in /srv/users/piuxhnsp/mpsvaba-m4/views/site/post.php on line 9
[Mon Mar 23 21:40:39.348554 2026] [php:warn] [pid 426811] [client 10.30.8.22:59958] PHP Warning:  foreach() argument must be of type array|object, null given in /srv/users/piuxhnsp/mpsvaba-m4/views/site/post.php on line 9
[Mon Mar 23 21:40:49.427756 2026] [php:warn] [pid 426813] [client 10.30.8.22:50516] PHP Warning:  Undefined variable $subscribers in /srv/users/piuxhnsp/mpsvaba-m4/views/site/post.php on line 9
[Mon Mar 23 21:40:49.427812 2026] [php:warn] [pid 426813] [client 10.30.8.22:50516] PHP Warning:  foreach() argument must be of type array|object, null given in /srv/users/piuxhnsp/mpsvaba-m4/views/site/post.php on line 9
[Mon Mar 23 21:40:49.817915 2026] [php:warn] [pid 426813] [client 10.30.8.22:50516] PHP Warning:  Undefined variable $subscribers in /srv/users/piuxhnsp/mpsvaba-m4/views/site/post.php on line 9
[Mon Mar 23 21:40:49.817945 2026] [php:warn] [pid 426813] [client 10.30.8.22:50516] PHP Warning:  foreach() argument must be of type array|object, null given in /srv/users/piuxhnsp/mpsvaba-m4/views/site/post.php on line 9
[Mon Mar 23 22:15:41.755001 2026] [php:warn] [pid 456074] [client 10.30.8.22:42216] PHP Warning:  Undefined variable $id in /srv/users/piuxhnsp/mpsvaba-m4/app/Controller/Site.php on line 19
[Mon Mar 23 22:32:51.071313 2026] [php:warn] [pid 469867] [client 10.30.8.22:50848] PHP Warning:  Undefined variable $user in /srv/users/piuxhnsp/mpsvaba-m4/views/site/post.php on line 2
[Mon Mar 23 22:32:51.071385 2026] [php:warn] [pid 469867] [client 10.30.8.22:50848] PHP Warning:  Attempt to read property "name" on null in /srv/users/piuxhnsp/mpsvaba-m4/views/site/post.php on line 2
[Mon Mar 23 22:32:51.071391 2026] [php:warn] [pid 469867] [client 10.30.8.22:50848] PHP Warning:  Undefined variable $user in /srv/users/piuxhnsp/mpsvaba-m4/views/site/post.php on line 2
[Mon Mar 23 22:32:51.071395 2026] [php:warn] [pid 469867] [client 10.30.8.22:50848] PHP Warning:  Attempt to read property "role" on null in /srv/users/piuxhnsp/mpsvaba-m4/views/site/post.php on line 2
[Mon Mar 23 22:34:35.945944 2026] [php:warn] [pid 471088] [client 10.30.8.22:42992] PHP Warning:  Undefined variable $phones in /srv/users/piuxhnsp/mpsvaba-m4/views/site/hello.php on line 3, referer: http://mpsvaba-m4.wsr.ru/signup
[Mon Mar 23 22:38:13.641109 2026] [php:error] [pid 473440] [client 10.30.8.22:47972] PHP Fatal error:  Cannot redeclare Controller\\Site::index() in /srv/users/piuxhnsp/mpsvaba-m4/app/Controller/Site.php on line 50, referer: http://mpsvaba-m4.wsr.ru/signup
[Mon Mar 23 22:38:14.869667 2026] [php:error] [pid 473441] [client 10.30.8.22:47988] PHP Fatal error:  Cannot redeclare Controller\\Site::index() in /srv/users/piuxhnsp/mpsvaba-m4/app/Controller/Site.php on line 50, referer: http://mpsvaba-m4.wsr.ru/signup
[Mon Mar 23 22:38:16.992431 2026] [php:error] [pid 473442] [client 10.30.8.22:47996] PHP Fatal error:  Cannot redeclare Controller\\Site::index() in /srv/users/piuxhnsp/mpsvaba-m4/app/Controller/Site.php on line 50
[Mon Mar 23 22:38:17.173002 2026] [php:error] [pid 473443] [client 10.30.8.22:47998] PHP Fatal error:  Cannot redeclare Controller\\Site::index() in /srv/users/piuxhnsp/mpsvaba-m4/app/Controller/Site.php on line 50
[Wed Mar 25 19:01:47.199511 2026] [php:error] [pid 2606883] [client 10.30.8.22:60014] PHP Fatal error:  Cannot redeclare Controller\\Site::login() in /srv/users/piuxhnsp/mpsvaba-m4/app/Controller/Site.php on line 81, referer: http://mpsvaba-m4.wsr.ru/signup
[Wed Mar 25 19:01:48.181372 2026] [php:error] [pid 2606894] [client 10.30.8.22:53442] PHP Fatal error:  Cannot redeclare Controller\\Site::login() in /srv/users/piuxhnsp/mpsvaba-m4/app/Controller/Site.php on line 81, referer: http://mpsvaba-m4.wsr.ru/signup
